,Fold selected features,Fold nb of features
Fold 10,"['ACE2', 'ACP5', 'ADAM15', 'ADAMTS13', 'ADCYAP1R1', 'AMIGO2', 'AMY2A', 'AMY2B', 'ANGPTL2', 'AOC1', 'CASP1', 'CBLIF', 'CCL20', 'CCL27', 'CD164', 'CD63', 'CDH17', 'CEACAM3', 'CES2', 'CNTN2', 'COL4A1', 'CPA2', 'CRTAC1', 'CRX', 'CTSF', 'CTSV', 'CXCL13', 'DDR1', 'DKKL1', 'DLL1', 'DPT', 'DSG2', 'ENPP7', 'FCGR2A', 'FCN2', 'FCRL5', 'FCRL6', 'FUCA1', 'GFRA1', 'GFRA2', 'GGT5', 'GNLY', 'GPA33', 'GPC5', 'HDGF', 'HLA-DRA', 'HMBS', 'ICAM1', 'IFNGR2', 'IGF2R', 'IL13', 'IL17C', 'IL17D', 'IL18RAP', 'IL2RA', 'IL5', 'IL5RA', 'ITGB6', 'JCHAIN', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK1', 'KLK10', 'KLRD1', 'LEFTY2', 'LYPD1', 'MARCO', 'MDGA1', 'MFAP3', 'MILR1', 'MMP13', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NFATC3', 'NOMO1', 'NPTN', 'NTF4', 'PCOLCE', 'PCSK9', 'PDGFC', 'PDGFRA', 'PM20D1', 'PODXL2', 'PON3', 'PRTG', 'PSIP1', 'PSPN', 'RANGAP1', 'SCARB1', 'SCGN', 'SCP2', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINK1', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'TEK', 'THPO', 'TIMP3', 'TMPRSS5', 'TNC', 'TNFRSF4', 'TNFRSF8', 'TSHB', 'ULBP2', 'VNN2', 'XPNPEP2', 'XRCC4']",115
Fold 11,['MZB1'],1
Fold 12,"['ADAMTS15', 'ADGRG1', 'ADGRG2', 'AFP', 'AGRN', 'ATP6V1D', 'B4GAT1', 'BAIAP2', 'BST1', 'C19orf12', 'CCL15', 'CD164', 'CD5', 'CD63', 'CD74', 'CD79B', 'CDHR1', 'CEACAM21', 'CEACAM5', 'CES2', 'CNTN5', 'COL6A3', 'CPVL', 'CRELD2', 'CRH', 'CRTAC1', 'CSF1', 'CTSH', 'CTSL', 'CXCL8', 'DKKL1', 'DLL1', 'DPT', 'DSG4', 'EPCAM', 'ERBB3', 'FABP1', 'FBP1', 'FCGR2B', 'FCRLB', 'FGF21', 'FOSB', 'GDF15', 'GFOD2', 'GFRA2', 'GGT1', 'GGT5', 'GHRHR', 'GPA33', 'GPKOW', 'HBQ1', 'HDGF', 'ICAM1', 'IGFBPL1', 'IL13', 'IL16', 'IL1R1', 'IL1RAP', 'IL2RA', 'IL2RB', 'ISLR2', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK12', 'KLK14', 'KRT5', 'LEP', 'LGALS9', 'LILRA5', 'LILRB1', 'LY9', 'MDGA1', 'MET', 'MILR1', 'MSLN', 'MZB1', 'NEFL', 'NOMO1', 'NPTN', 'NPY', 'NRTN', 'NTRK3', 'PIGR', 'PLAUR', 'PM20D1', 'PON3', 'PPY', 'PRKRA', 'PRSS8', 'PSIP1', 'RAB6B', 'RANGAP1', 'RBP2', 'REN', 'S100A16', 'SCARB1', 'SDC1', 'SIRT5', 'SPINT1', 'SRP14', 'SSB', 'ST3GAL1', 'TDGF1', 'TFF3', 'TFPI2', 'THBS2', 'THPO', 'TLR3', 'TNC', 'TNFRSF11A', 'TNFRSF11B', 'TPT1', 'TSLP', 'TYRO3', 'VWF', 'XPNPEP2']",117
Fold 13,"['CCL20', 'CRTAC1', 'FABP4', 'HLA-DRA', 'LGALS1', 'MZB1']",6
Fold 14,"['ACE2', 'ACP6', 'ADAMTS13', 'ADAMTS15', 'ADAMTS16', 'ADGRG2', 'AMY2A', 'AMY2B', 'AOC1', 'BAIAP2', 'BTN3A2', 'C19orf12', 'CALB2', 'CAMKK1', 'CCL17', 'CCL19', 'CCL20', 'CD109', 'CD22', 'CD276', 'CD38', 'CD5', 'CDC27', 'CDHR1', 'CELA3A', 'CHIT1', 'CLEC4G', 'CLUL1', 'CNDP1', 'CPA2', 'CRTAC1', 'CSF2RA', 'CTSH', 'CXCL8', 'DFFA', 'DPY30', 'DSG4', 'FCAR', 'FCN2', 'FCRL5', 'FOSB', 'GFOD2', 'GFRA2', 'GGH', 'GPC5', 'HLA-DRA', 'ICAM1', 'IFNLR1', 'IGF2R', 'IGFBPL1', 'IGSF3', 'IL11', 'IL1A', 'ISLR2', 'JUN', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK10', 'LAMA4', 'LBR', 'LEP', 'LGALS1', 'LHB', 'LILRB1', 'LY96', 'MAGED1', 'MAPT', 'MARCO', 'MCFD2', 'MDGA1', 'MET', 'MILR1', 'MMP13', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NINJ1', 'NOMO1', 'NRP1', 'PCOLCE', 'PDGFC', 'PIGR', 'PNLIPRP2', 'PON2', 'PON3', 'PPY', 'PRKRA', 'PRTG', 'S100A16', 'SELE', 'SELPLG', 'SIGLEC7', 'SIGLEC9', 'SLITRK6', 'SMOC2', 'TDGF1', 'TFRC', 'THBD', 'TMPRSS5', 'TNC', 'TNFRSF11B', 'TNFRSF13B', 'TNFRSF1A', 'TP53INP1', 'TSHB', 'VEGFA', 'WFIKKN1', 'XPNPEP2']",110
Fold 15,"['CRTAC1', 'FCAR', 'LGALS1', 'MZB1', 'PLAUR', 'PON3', 'TNFRSF8']",7
Fold 16,"['CCL20', 'CCL7', 'CES2', 'CXCL8', 'FGF21', 'FOSB', 'GDF15', 'LGALS1', 'MDGA1', 'MSLN', 'MZB1', 'PON3', 'PRSS8', 'TFPI2']",14
Fold 17,[],0
Fold 18,"['CDCP1', 'CRTAC1', 'FBP1', 'LGALS9', 'MZB1']",5
Fold 19,"['CCL7', 'JUN', 'LGALS1', 'MAD1L1', 'MZB1']",5
Fold 20,"['CCL7', 'CRTAC1', 'LGALS1', 'MZB1']",4
Fold 21,"['ADAMTS13', 'CCL20', 'CCL7', 'CRTAC1', 'CXCL8', 'FBP1', 'FOSB', 'IL22RA1', 'LGALS1', 'MDGA1', 'MZB1', 'PON3', 'TFPI2']",13
Fold 22,"['BAIAP2', 'CCL20', 'CRTAC1', 'CXCL8', 'GGT1', 'JUN', 'LGALS1', 'MZB1', 'PLAUR', 'PSIP1', 'TMSB10', 'TNFRSF8']",12
Fold 23,"['ACAN', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'ADCYAP1R1', 'ADGRG2', 'AKR1C4', 'AMY2A', 'AMY2B', 'ANGPTL3', 'AOC1', 'ATP6V1D', 'BAIAP2', 'C19orf12', 'CALB2', 'CAMKK1', 'CCL20', 'CD164', 'CD40', 'CD5', 'CD63', 'CD79B', 'CDHR1', 'CEACAM21', 'CELA3A', 'CES2', 'CHIT1', 'CLC', 'CLEC4G', 'COL9A1', 'CPA2', 'CRTAC1', 'CTRB1', 'CTSF', 'CTSL', 'CTSS', 'DKK4', 'DKKL1', 'DLL1', 'DPT', 'DSG2', 'DSG4', 'ECE1', 'ERBB4', 'FABP1', 'FABP4', 'FABP9', 'FBP1', 'FCAR', 'FCGR2A', 'FCN2', 'FCRL5', 'FGF21', 'FOSB', 'GDF15', 'GFAP', 'GFOD2', 'GFRA2', 'GGT5', 'GH2', 'GLB1', 'GNLY', 'GP2', 'GPA33', 'HCLS1', 'HDGF', 'HMBS', 'HMOX2', 'HSP90B1', 'IFNGR1', 'IFNGR2', 'IGF2R', 'IKBKG', 'IL11', 'IL13', 'IL17C', 'IL17D', 'IL22RA1', 'IL2RB', 'ILKAP', 'ISLR2', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK1', 'KLK10', 'KLK14', 'LAIR2', 'LAMA4', 'LEP', 'LGALS1', 'LGALS9', 'LY96', 'LYPD1', 'LYPD8', 'MARCO', 'MDGA1', 'MET', 'MICB_MICA', 'MUC13', 'MUC16', 'MZB1', 'NCLN', 'NELL2', 'NOMO1', 'NPTN', 'PCSK9', 'PDGFC', 'PLAUR', 'PM20D1', 'PODXL2', 'PON3', 'PPY', 'PREB', 'PRSS8', 'PVALB', 'RANGAP1', 'RARRES1', 'RBP2', 'SCARB1', 'SCGN', 'SERPINB6', 'SERPINB9', 'SEZ6L2', 'SIGLEC10', 'SIGLEC9', 'SPINK1', 'SPINT1', 'TDGF1', 'THPO', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TNNI3', 'TRIAP1', 'TSHB', 'TSLP', 'TXLNA', 'TXNDC5', 'ULBP2', 'XPNPEP2']",144
Fold 24,"['ACE2', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'AMY2A', 'AMY2B', 'ANGPTL7', 'BAIAP2', 'CAPG', 'CASP1', 'CCL15', 'CCL19', 'CCL20', 'CD276', 'CD5', 'CD63', 'CDH17', 'CDHR1', 'CDHR2', 'CEACAM5', 'CELA3A', 'CES2', 'CHL1', 'CLEC10A', 'COLEC12', 'CPA2', 'CRTAC1', 'CSTB', 'CTRB1', 'CTSH', 'CXCL8', 'DKKL1', 'DLL1', 'DPT', 'DSG4', 'ERBB4', 'FCGR2B', 'FOSB', 'GAL', 'GFOD2', 'GFRA2', 'GGT1', 'GHRHR', 'GNLY', 'GPA33', 'GPC5', 'HAVCR1', 'ICAM4', 'IFNGR2', 'IGF2R', 'IGFBPL1', 'IL13', 'IL16', 'IL1RAP', 'IL2', 'IL2RA', 'IL32', 'IL33', 'ISM1', 'KLK12', 'LAMA4', 'LGALS1', 'LY9', 'MDGA1', 'MME', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'NINJ1', 'NPTN', 'NPY', 'NTF4', 'NXPH1', 'PCSK9', 'PDGFC', 'PIGR', 'PM20D1', 'PNLIPRP2', 'PPY', 'RAB6B', 'RANGAP1', 'SFTPD', 'SMOC2', 'SPINK6', 'SPINT1', 'SSB', 'TDGF1', 'THBS2', 'TMPRSS5', 'TNC', 'TSHB', 'TYRO3', 'XPNPEP2']",94
Fold 25,['MZB1'],1
Fold 26,"['ACE2', 'ACP5', 'AHSP', 'ANGPTL2', 'AOC1', 'ASAH2', 'BAIAP2', 'BSG', 'BST1', 'C19orf12', 'CALB2', 'CCL19', 'CCL20', 'CCL7', 'CD63', 'CDC27', 'CDH17', 'CDHR1', 'CES2', 'CHIT1', 'CLEC11A', 'CLEC4G', 'CNTN5', 'COL6A3', 'COLEC12', 'CPA2', 'CRTAC1', 'CTRB1', 'CTSF', 'CTSH', 'CTSL', 'CXCL16', 'CXCL5', 'CXCL8', 'DKKL1', 'DLL1', 'DPT', 'DSG4', 'EPCAM', 'FABP4', 'FASLG', 'FCN2', 'FGF21', 'FGF5', 'FOSB', 'GDF15', 'GFAP', 'GFOD2', 'GFRA2', 'GGT5', 'GPA33', 'GPC5', 'GRN', 'HAVCR2', 'HBQ1', 'HDGF', 'HEBP1', 'HLA-DRA', 'HMBS', 'IKBKG', 'IL13', 'IL17C', 'IL22RA1', 'IL2RA', 'IL5', 'IL5RA', 'ISLR2', 'JCHAIN', 'KLK1', 'KLK10', 'KLK12', 'KLRB1', 'L1CAM', 'LAMA4', 'LGALS1', 'LGALS9', 'LILRA5', 'LILRB1', 'LRPAP1', 'LRRC25', 'LTO1', 'LY96', 'LYPD1', 'MARCO', 'MDGA1', 'MET', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NELL2', 'NPDC1', 'NRP2', 'NTRK3', 'PDGFC', 'PDGFRA', 'PKLR', 'PLA2G7', 'PLAUR', 'PON3', 'PPP3R1', 'PPY', 'PRKRA', 'RANGAP1', 'RARRES1', 'REN', 'RETN', 'S100A16', 'SCGN', 'SERPINA11', 'SIGLEC7', 'SIGLEC9', 'SIRT5', 'SLC39A5', 'SMOC2', 'SPINT1', 'SRP14', 'SSB', 'SSC5D', 'TAFA5', 'TDRKH', 'TFPI2', 'THPO', 'TMPRSS15', 'TMSB10', 'TNFRSF11A', 'TNFRSF13C', 'TPT1', 'TSHB', 'TSLP', 'WFIKKN2', 'XPNPEP2']",133
Fold 27,"['CCL20', 'CRTAC1', 'CTSH', 'CXCL13', 'CXCL8', 'IGF2R', 'LGALS1', 'MDGA1', 'MSR1', 'MZB1', 'PON3', 'SIGLEC9', 'TNFRSF8']",13
Fold 28,[],0
Fold 29,"['ACE2', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'ANGPTL2', 'AOC1', 'B4GAT1', 'BAIAP2', 'BSG', 'CAMKK1', 'CAPG', 'CCL17', 'CCL19', 'CCL20', 'CD276', 'CD38', 'CD5', 'CD63', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CHL1', 'COL4A1', 'COL6A3', 'CRTAC1', 'CSF2RA', 'CSTB', 'CTSF', 'CTSH', 'CXCL8', 'DKKL1', 'DLL1', 'DNER', 'DPT', 'FABP4', 'FASLG', 'FCAR', 'FCN2', 'FCRL5', 'FGF21', 'FOSB', 'GFOD2', 'GFRA2', 'GGT1', 'GNLY', 'GPA33', 'HCLS1', 'HDGF', 'HSPB1', 'ICAM1', 'ICAM4', 'IGF2R', 'IL11', 'IL13', 'IL16', 'IL17F', 'IL17RB', 'IL1A', 'IL1RL2', 'IL22RA1', 'IL5RA', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK10', 'LAMA4', 'LBR', 'LHPP', 'LILRA5', 'LY96', 'LYPD1', 'MDGA1', 'MET', 'MILR1', 'MUC13', 'MZB1', 'NCF2', 'NCLN', 'NFASC', 'NINJ1', 'NPTN', 'NRP1', 'PDGFC', 'PDGFRA', 'PIGR', 'PM20D1', 'PON3', 'PPY', 'PRL', 'PRSS8', 'RANGAP1', 'RASSF2', 'RELT', 'S100A16', 'SCP2', 'SELPLG', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'TFRC', 'THBS2', 'TLR3', 'TMPRSS5', 'TMSB10', 'TNC', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF4', 'TP53INP1', 'TPT1', 'VTCN1', 'XPNPEP2']",118
Fold 30,"['CCL20', 'CCL7', 'CTSH', 'LGALS1', 'MUC13', 'MZB1', 'PON3']",7
Fold 31,"['ADAM15', 'ADAMTS13', 'ADAMTS15', 'ADGRG2', 'ANGPTL2', 'AOC1', 'APEX1', 'BAIAP2', 'BSG', 'CCL14', 'CCL15', 'CCL20', 'CCL7', 'CD209', 'CD276', 'CD28', 'CD63', 'CDH17', 'CDHR1', 'CEACAM3', 'CGREF1', 'CHIT1', 'CNTN5', 'COL9A1', 'COLEC12', 'CRLF1', 'CRTAC1', 'CSF2RA', 'CTSH', 'DFFA', 'DKKL1', 'DPP6', 'DPT', 'DSG4', 'EPCAM', 'FABP4', 'FAP', 'FBP1', 'FCAR', 'FCN2', 'FOSB', 'GCG', 'GDF15', 'GFAP', 'GFRA2', 'GGH', 'GGT1', 'GGT5', 'GLT8D2', 'GNLY', 'GPA33', 'GPC5', 'GPKOW', 'HBQ1', 'HCLS1', 'HDGF', 'HEBP1', 'HSPG2', 'ICAM1', 'IGF2R', 'IL13', 'IL16', 'IL17A', 'IL17C', 'IL1RAP', 'IL1RL2', 'IL2', 'IL24', 'IL2RA', 'IL33', 'IL5', 'ING1', 'ISLR2', 'KLK1', 'KLK12', 'KLRD1', 'L1CAM', 'LBR', 'LEFTY2', 'LGALS1', 'LILRB1', 'LRIG1', 'LRPAP1', 'LRRC25', 'LSP1', 'LY96', 'LYPD1', 'MARCO', 'MDGA1', 'MET', 'MILR1', 'MSTN', 'MTPN', 'MUC13', 'MZB1', 'NEFL', 'NOS1', 'NPM1', 'NPTN', 'NPY', 'NTF4', 'OMG', 'PAEP', 'PAG1', 'PDGFC', 'PLAUR', 'PRDX1', 'PRL', 'PSIP1', 'PSPN', 'RANGAP1', 'RARRES1', 'S100A16', 'SCARB1', 'SCGN', 'SCP2', 'SEMA3F', 'SEZ6L2', 'SIGLEC9', 'SLC39A5', 'SMOC2', 'SPINT1', 'SRP14', 'SSB', 'TAFA5', 'THBS2', 'THPO', 'TMSB10', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF6B', 'TNFRSF8', 'TPT1', 'TSHB', 'TXLNA', 'VWF', 'XPNPEP2']",137
Fold 32,"['ACP5', 'ACP6', 'ADAM15', 'ADAMTS13', 'ADAMTS15', 'AMIGO2', 'AMN', 'ANGPTL2', 'AOC1', 'ATP6V1D', 'B4GAT1', 'CCL15', 'CCL20', 'CD63', 'CDH1', 'CDHR2', 'CEACAM3', 'CES2', 'CHIT1', 'CHRDL1', 'CLUL1', 'COL4A1', 'COL6A3', 'COLEC12', 'CPA2', 'CRTAC1', 'CSF3', 'CTSF', 'CXCL13', 'DCXR', 'DDX58', 'DKK4', 'DKKL1', 'DLL1', 'DNER', 'DSG2', 'ENG', 'ENPP7', 'FABP4', 'FASLG', 'FBP1', 'FCN2', 'FCRL5', 'FGF21', 'FGR', 'FKBP5', 'FOSB', 'FUS', 'GDF2', 'GFRA2', 'GGT1', 'GGT5', 'GNLY', 'GRN', 'GZMH', 'HDGF', 'HLA-DRA', 'HSP90B1', 'ICAM1', 'IFNGR2', 'IGF2R', 'IL11', 'IL15RA', 'IL16', 'IL17C', 'IL22RA1', 'IL6', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK1', 'KLK10', 'LILRA5', 'LILRB1', 'LRP11', 'LYPD1', 'MARCO', 'MASP1', 'MDGA1', 'MET', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NEFL', 'NFATC3', 'NINJ1', 'NOMO1', 'NPTN', 'NRP2', 'NTRK3', 'PCOLCE', 'PDGFC', 'PDGFRA', 'PIGR', 'PM20D1', 'PPY', 'PRKRA', 'PRL', 'PRSS8', 'PSIP1', 'PSPN', 'PTH1R', 'PTPRM', 'RANGAP1', 'RBP2', 'RETN', 'S100A16', 'SERPINA11', 'SERPINB9', 'SFTPA2', 'SMOC2', 'SPINK1', 'SPINK6', 'SPINT1', 'SRP14', 'SSB', 'SSC5D', 'TDGF1', 'TFPI2', 'THBS2', 'THPO', 'TMPRSS5', 'TNFRSF11B', 'TNFRSF13C', 'TNFRSF4', 'TNFRSF8', 'TSHB', 'WIF1', 'XPNPEP2']",132
Fold 33,"['ACP5', 'ADAM15', 'ADGRG2', 'AMY2B', 'ANGPTL3', 'AOC1', 'ASAH2', 'BAIAP2', 'C19orf12', 'CASP1', 'CCL15', 'CCL19', 'CCL20', 'CD22', 'CD5', 'CD63', 'CDHR1', 'CEACAM21', 'CES2', 'CHIT1', 'CNTN1', 'COL9A1', 'CPA2', 'CPVL', 'CRHBP', 'CRTAC1', 'CTRB1', 'CTSF', 'CTSH', 'CTSL', 'CXCL8', 'DKKL1', 'DSG4', 'ENPP7', 'ERBB3', 'FBP1', 'FCGR2B', 'FCN2', 'FCRL1', 'FCRL5', 'FGF21', 'FOSB', 'GAL', 'GFRA2', 'GFRA3', 'GGT5', 'GH2', 'GPA33', 'GUCA2A', 'GZMA', 'HDGF', 'HLA-DRA', 'ICAM1', 'IFNGR2', 'IGF2R', 'IGSF3', 'IL1A', 'IL22RA1', 'IL6', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK12', 'KLK14', 'KLK6', 'LILRB1', 'LSP1', 'MAGED1', 'MAPT', 'MARCO', 'MDGA1', 'MET', 'MIA', 'MMP13', 'MUC13', 'MZB1', 'NAAA', 'NCLN', 'NINJ1', 'NRP2', 'OXT', 'PCOLCE', 'PCSK9', 'PDGFC', 'PLA2G10', 'PM20D1', 'PON3', 'PPY', 'PRKRA', 'RAB6B', 'RANGAP1', 'RARRES1', 'RRM2', 'S100A16', 'SCG2', 'SELPLG', 'SIGLEC7', 'SIGLEC9', 'SPINK6', 'SPINT1', 'SRP14', 'TDGF1', 'TFRC', 'THBS2', 'TLR3', 'TMPRSS5', 'TNC', 'TNFRSF8', 'TP53INP1', 'TSHB', 'VWA1', 'WFIKKN1', 'XPNPEP2']",113
Fold 34,"['CCL7', 'LGALS1', 'MZB1']",3
